user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
850284,465,13,2023-04-28,2023-06-29,62,2023-04-28,0.56,50 이상,50 이상,,F,3944.0,271.0,2.0,348,109,0.3132183908045977,239
850302,95,4,2023-04-28,2023-05-02,4,2023-04-28,0.56,50 이상,50 이상,,M,3946.0,271.0,2.0,238,116,0.48739495798319327,122
850303,51,5,2023-04-28,2023-05-05,7,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,83,17,0.20481927710843373,66
850319,306,16,2023-04-28,2023-06-02,35,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0,249,20,0.08032128514056225,229
850334,105,13,2023-04-28,2023-05-19,21,2023-04-28,0.56,50 이상,50 이상,,M,3950.0,271.0,2.0,143,51,0.35664335664335667,92
850344,163,9,2023-04-28,2023-07-18,81,2023-04-28,0.56,50 이상,50 이상,,M,603.0,271.0,2.0,369,116,0.3143631436314363,253
850378,158,8,2023-04-28,2023-05-18,20,2023-04-28,0.56,50 이상,50 이상,,M,3959.0,271.0,2.0,120,11,0.09166666666666666,109
850388,611,15,2023-04-28,2023-05-13,15,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0,291,81,0.27835051546391754,210
850392,369,8,2023-04-28,2023-05-06,8,2023-04-28,0.56,50 이상,50 이상,,F,3939.0,271.0,2.0,669,231,0.3452914798206278,438
850412,179,12,2023-04-28,2023-05-27,29,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0,172,61,0.3546511627906977,111
850413,561,18,2023-04-28,2023-06-04,37,2023-04-28,0.56,50 이상,50 이상,,F,3966.0,271.0,2.0,182,44,0.24175824175824176,138
850429,228,9,2023-04-28,2023-05-16,18,2023-04-28,0.56,50 이상,50 이상,,M,3939.0,271.0,2.0,50,17,0.34,33
850435,150,7,2023-04-28,2023-07-11,74,2023-04-28,0.56,50 이상,50 이상,,M,3939.0,271.0,2.0,52,29,0.5576923076923077,23
850457,182,10,2023-04-28,2023-05-20,22,2023-04-28,0.56,50 이상,50 이상,,M,3966.0,271.0,2.0,608,205,0.3371710526315789,403
850475,266,13,2023-04-28,2023-05-14,16,2023-04-28,0.56,50 이상,50 이상,,F,4127.0,271.0,1.0,213,71,0.3333333333333333,142
850526,72,13,2023-05-08,2023-06-01,24,2023-05-08,0.4899328859060403,50 미만,,50 미만,M,3953.0,271.0,3.0,24,18,0.75,6
850536,30,6,2023-04-29,2023-05-28,29,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3947.0,271.0,2.0,108,20,0.18518518518518517,88
850554,308,8,2023-04-28,2023-05-07,9,2023-04-28,0.56,50 이상,50 이상,,M,603.0,271.0,2.0,191,98,0.5130890052356021,93
850556,138,7,2023-04-28,2023-05-05,7,2023-04-28,0.56,50 이상,50 이상,,M,3939.0,271.0,2.0,234,61,0.2606837606837607,173
