user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade
890065,23,4,2023-05-08,2023-05-25,17,2023-05-08,0.4899328859060403,50 미만,,50 미만,M,5998.0,271.0,1.0
890073,84,3,2023-05-05,2023-05-07,2,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12015.0,352.0,2.0
890115,376,10,2023-05-07,2023-05-20,13,2023-05-07,0.3904761904761905,50 미만,,50 미만,M,9503.0,4516.0,2.0
890145,44,5,2023-05-05,2023-05-09,4,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,915.0,369.0,1.0
890315,207,9,2023-05-05,2023-05-25,20,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,16040.0,352.0,3.0
890402,36,3,2023-05-05,2023-05-08,3,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,11318.0,352.0,3.0
890413,256,8,2023-05-05,2023-05-12,7,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,10196.0,369.0,3.0
890459,188,7,2023-05-05,2023-05-14,9,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2419.0,352.0,2.0
890468,24,3,2023-05-05,2023-05-09,4,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12277.0,352.0,1.0
890476,45,12,2023-05-06,2023-05-21,15,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,8780.0,352.0,1.0
890492,302,12,2023-05-05,2023-05-22,17,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12357.0,352.0,3.0
890495,38,2,2023-05-05,2023-05-06,1,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2697.0,352.0,1.0
890663,109,8,2023-05-05,2023-05-14,9,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,2417.0,352.0,2.0
890709,133,6,2023-05-06,2023-05-18,12,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,10153.0,4516.0,2.0
890768,225,6,2023-05-06,2023-05-23,17,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,8780.0,352.0,1.0
890846,42,4,2023-05-06,2023-05-09,3,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,6875.0,352.0,1.0
890928,513,9,2023-05-06,2023-05-22,16,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,12343.0,352.0,1.0
890959,791,10,2023-05-06,2023-05-16,10,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,12343.0,352.0,1.0
890983,11,4,2023-05-10,2023-05-14,4,2023-05-10,0.6184971098265896,50 이상,50 이상,,F,10955.0,352.0,2.0
891018,146,7,2023-05-06,2023-05-19,13,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,9593.0,4516.0,1.0
891023,140,6,2023-05-06,2023-05-11,5,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,10175.0,352.0,1.0
891043,84,6,2023-05-08,2023-05-15,7,2023-05-08,0.4899328859060403,50 미만,,50 미만,F,12343.0,352.0,1.0
891065,70,4,2023-05-20,2023-05-23,3,2023-05-20,0.6993865030674846,50 이상,50 이상,,M,13971.0,4426.0,1.0
891081,75,6,2023-05-06,2023-05-21,15,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,7882.0,369.0,3.0
891099,20,2,2023-05-06,2023-05-14,8,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,12343.0,352.0,1.0
891115,329,13,2023-05-06,2023-05-22,16,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,9350.0,4516.0,1.0
891143,315,13,2023-05-06,2023-05-19,13,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,8323.0,4516.0,1.0
891171,286,16,2023-05-06,2023-05-25,19,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,12412.0,352.0,3.0
891248,69,9,2023-05-09,2023-05-20,11,2023-05-09,0.7316017316017316,50 이상,50 이상,,F,5028.0,5491.0,1.0
891448,273,8,2023-05-06,2023-05-14,8,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,8323.0,4516.0,1.0
891457,183,8,2023-05-06,2023-05-14,8,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,12412.0,352.0,3.0
891498,68,5,2023-05-06,2023-05-11,5,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,12003.0,352.0,2.0
891518,318,13,2023-05-09,2023-05-25,16,2023-05-09,0.7316017316017316,50 이상,50 이상,,M,5028.0,5491.0,1.0
891634,36,2,2023-05-06,2023-05-07,1,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,11243.0,352.0,2.0
891669,111,12,2023-05-09,2023-05-25,16,2023-05-09,0.7316017316017316,50 이상,50 이상,,F,6634.0,5491.0,1.0
